# This is a toy data for ChunkProportionsAndGMM code
IND1 IND2 IND3 IND4 IND5 IND6 IND7 IND8 IND9 IND10 IND11 IND12 IND13 IND14 IND15 IND16 IND17 IND18 IND19 IND20 IND21 IND22 IND23 IND24 IND25 IND26 IND27 IND28 IND29 IND30 IND31 IND32 IND33 IND34 IND35 IND36 IND37 IND38 IND39 IND40 IND41 IND42 IND43 IND44 IND45 IND46 IND47 IND48 IND49 IND50 IND51 IND52 IND53 IND54 IND55 IND56 IND57 IND58 IND59 IND60 IND61 IND62 IND63 IND64 IND65 IND66 IND67 IND68 IND69 IND70 IND71 IND72 IND73 IND74 IND75 IND76 IND77 IND78 IND79 IND80 IND81 IND82 IND83 IND84 IND85 IND86 IND87 IND88 IND89 IND90 IND91 IND92 IND93 IND94 IND95 IND96 IND97 IND98 IND99 IND100
IND65 17 22 22 24 17 19 25 24 21 18 25 28 17 22 19 27 18 21 19 25 19 19 20 21 21 19 26 19 21 18 23 19 21 19 23 21 23 22 21 21 20 18 23 21 26 25 21 18 23 19 28 20 18 21 26 28 27 20 27 26 30 25 20 26 0 20 28 17 21 26 31 20 25 20 33 24 33 16 23 18 15 21 18 20 17 16 16 15 19 21 22 20 21 18 20 20 21 21 18 19
IND66 17 15 21 18 19 24 19 17 19 17 19 22 19 26 22 21 18 18 18 23 20 23 22 21 18 19 25 18 20 24 16 19 20 18 26 28 26 22 22 22 22 18 18 27 23 19 23 20 23 19 24 26 21 25 27 35 25 15 18 23 22 24 18 28 21 0 32 21 28 21 36 21 29 22 26 24 28 22 20 16 20 21 19 17 15 14 20 18 18 20 17 21 19 16 18 18 19 22 16 17
IND67 21 22 19 15 25 19 21 21 19 20 19 24 14 21 19 21 18 23 22 24 20 24 23 18 21 23 26 20 16 23 22 19 22 15 21 20 21 21 21 22 20 23 20 24 22 19 25 25 18 20 23 19 22 28 22 33 23 20 24 24 23 23 25 30 30 34 0 19 26 19 25 27 28 26 29 29 33 21 22 16 23 17 21 16 17 20 19 21 19 19 22 19 27 23 16 21 21 20 17 15
IND68 25 18 20 25 20 18 21 17 21 20 18 21 17 17 18 21 21 17 22 14 14 18 17 18 15 22 21 17 19 21 20 25 23 22 19 19 21 19 17 16 23 26 20 23 18 19 18 19 17 20 16 27 23 40 24 18 34 23 26 21 23 19 20 20 17 23 15 0 27 18 21 21 20 21 22 23 28 23 19 22 24 19 19 19 17 15 15 17 18 17 16 23 25 16 19 21 25 18 17 17
IND69 22 22 23 27 18 20 25 25 19 24 23 23 18 21 19 22 19 17 19 26 22 27 20 20 21 19 23 19 28 25 19 17 17 20 28 20 21 23 23 15 21 22 21 16 23 21 22 26 15 19 20 30 21 34 27 25 30 22 25 29 25 27 24 29 21 26 24 30 0 25 28 24 35 19 27 27 30 19 21 15 23 22 21 16 19 18 20 18 23 23 20 22 20 19 21 24 27 23 18 21
IND70 15 16 14 15 15 13 16 18 18 19 21 17 15 17 16 12 18 12 13 20 18 22 15 14 18 17 14 16 14 17 18 18 16 19 15 14 17 17 15 15 18 16 18 16 18 14 17 13 13 13 17 20 17 24 22 18 17 16 14 18 18 16 16 20 20 21 18 19 20 0 19 19 25 22 17 21 18 19 16 17 14 11 16 17 15 13 16 16 15 17 17 15 18 12 16 18 19 15 14 16
IND71 16 21 20 19 16 19 17 22 17 21 14 19 17 23 17 20 17 17 19 18 22 26 19 19 19 23 18 18 20 22 22 14 14 17 15 19 20 17 19 20 21 18 19 17 18 23 18 21 19 19 25 17 20 16 23 31 22 18 22 26 25 24 20 44 28 35 26 21 27 19 0 17 26 25 33 24 26 18 29 17 17 15 16 22 15 19 20 18 16 21 19 16 18 17 20 19 21 22 18 17
IND72 20 21 26 20 24 20 25 25 24 25 24 27 25 30 25 25 22 18 25 24 21 27 23 22 27 22 21 20 26 22 24 28 23 22 30 22 21 26 26 24 28 28 24 21 28 27 22 23 26 21 30 24 29 20 24 28 29 20 19 24 23 28 25 23 25 25 28 22 25 25 24 0 26 28 23 28 23 22 23 20 22 20 20 19 22 21 20 22 25 16 21 23 21 21 22 25 20 22 18 19
IND73 16 15 19 17 10 11 13 15 13 11 15 13 16 15 16 17 15 16 14 33 13 18 17 16 19 13 21 11 14 15 16 13 17 15 16 19 12 14 19 13 16 22 17 12 17 14 13 12 12 17 23 17 17 25 23 20 22 19 17 31 18 21 18 24 24 23 23 18 30 22 22 20 0 30 19 20 21 18 21 11 17 22 17 15 15 13 11 15 18 13 14 17 13 12 14 15 14 21 14 13
IND74 18 20 16 18 20 16 16 18 19 17 19 15 22 14 19 15 16 18 18 14 21 21 16 18 17 18 20 13 16 18 20 15 18 21 16 17 17 16 13 16 17 19 17 18 19 16 16 17 17 22 20 16 23 19 21 25 19 20 15 26 22 23 21 23 23 20 26 20 17 19 20 21 34 0 22 26 17 18 16 14 16 16 16 19 16 14 16 19 17 17 13 15 16 20 18 16 16 18 18 21
IND75 27 23 26 19 20 26 25 25 23 20 20 22 21 24 21 19 20 20 19 22 20 23 20 21 21 21 19 22 20 26 21 26 27 28 24 25 21 23 23 25 25 19 19 26 26 29 22 21 30 19 32 28 23 25 27 27 28 25 22 30 29 31 28 25 33 32 29 25 26 22 36 24 24 24 0 29 24 25 25 19 19 19 17 16 19 18 25 21 18 23 18 18 21 18 25 28 21 22 21 19
IND76 25 21 22 25 22 25 27 23 20 27 22 27 24 27 22 21 22 23 25 23 31 27 25 26 22 25 22 22 23 20 26 24 24 19 27 19 26 23 30 24 21 28 22 23 24 21 25 24 23 23 33 25 22 26 34 27 28 24 23 24 27 27 24 33 28 31 29 22 31 28 32 25 25 29 30 0 30 20 22 21 25 18 23 21 21 18 22 24 22 23 20 24 23 20 28 23 22 23 20 24
IND77 20 16 22 22 18 15 21 16 12 18 20 19 19 21 20 19 17 17 17 15 19 19 18 21 18 25 20 16 17 15 16 20 16 16 17 20 23 17 21 20 22 17 20 16 16 18 20 17 18 17 19 22 25 22 24 18 22 24 21 20 19 23 20 22 32 31 33 27 30 15 24 20 22 17 21 21 0 21 20 17 19 15 20 19 16 18 14 15 13 18 15 17 20 14 21 17 21 16 18 19
IND78 16 19 17 17 21 21 16 21 17 19 19 16 17 15 21 21 19 20 20 20 19 19 16 20 21 22 25 17 14 19 23 16 20 24 18 20 19 15 17 18 20 24 21 18 19 16 15 19 17 19 23 21 24 25 20 20 25 15 26 19 22 18 25 16 17 20 25 22 19 19 22 18 21 20 22 16 20 0 26 18 24 22 19 16 14 19 19 19 22 21 17 17 19 18 20 21 24 20 19 17
IND79 21 20 16 22 20 19 19 20 16 17 21 16 16 18 19 19 21 16 21 18 19 21 21 16 17 24 19 19 15 23 16 19 20 20 21 18 18 19 17 16 20 17 18 19 21 16 16 16 17 17 19 18 23 18 17 25 19 18 21 18 17 15 23 24 19 22 19 18 25 23 24 20 18 20 21 16 23 25 0 20 21 20 17 15 22 18 16 19 22 20 18 19 26 22 22 25 18 21 21 16
IND80 9 15 12 13 12 12 10 11 12 12 14 8 16 12 14 11 15 15 13 12 13 17 13 13 15 12 11 11 15 10 11 13 12 14 11 12 11 12 13 13 10 13 10 13 9 13 11 14 11 12 14 14 13 17 11 13 16 17 11 14 14 14 10 18 13 10 13 17 11 13 12 11 12 11 12 10 14 12 16 0 15 12 20 13 15 12 13 16 14 15 10 24 13 15 17 21 17 11 16 20
IND81 21 15 15 20 16 18 22 17 17 14 17 19 18 16 24 17 17 16 16 15 12 17 18 15 12 16 15 15 16 13 17 17 18 16 17 16 17 17 13 19 15 15 19 19 16 18 17 14 17 17 14 16 25 16 18 14 15 17 28 14 21 16 15 20 14 16 17 20 18 16 16 18 16 13 17 23 17 22 19 20 0 17 20 19 16 17 18 18 18 19 17 22 14 17 19 17 22 21 17 15
IND82 12 16 12 18 17 16 19 14 17 13 20 17 15 9 16 15 16 16 11 18 21 16 14 15 14 15 12 18 10 15 13 12 16 13 16 13 15 15 12 16 12 15 15 13 15 15 13 16 16 15 15 13 15 14 12 12 14 17 17 11 13 12 17 13 18 15 12 19 15 11 13 12 18 13 13 14 13 19 18 13 14 0 13 20 15 16 19 19 18 13 18 16 16 16 32 15 15 19 14 14
IND83 15 17 18 21 13 15 16 15 14 16 13 15 17 19 16 13 15 15 17 20 15 16 15 14 18 15 13 16 15 14 19 13 13 13 14 15 14 15 16 18 17 16 16 15 16 13 13 13 17 13 20 17 22 16 13 18 17 20 15 15 16 13 15 16 15 14 17 16 19 15 15 13 12 18 12 18 13 15 14 21 18 19 0 21 17 18 23 21 19 19 16 20 13 19 22 16 21 15 19 18
IND84 15 12 19 12 11 15 11 13 13 16 12 12 20 10 11 12 12 15 14 13 15 14 14 12 13 10 14 12 14 10 11 11 13 16 14 17 13 16 14 13 14 11 12 12 12 12 12 11 15 10 14 12 13 14 14 14 18 16 18 14 14 13 12 10 13 13 13 15 9 12 16 11 15 15 12 11 12 11 12 14 14 16 21 0 17 19 13 12 19 15 21 18 14 16 14 13 10 14 24 25
IND85 12 11 14 10 12 9 9 10 14 12 10 13 15 10 15 11 10 12 12 12 13 8 11 10 11 9 13 13 13 15 13 10 12 8 9 12 12 13 9 15 10 15 11 9 11 10 12 10 14 11 13 11 13 10 10 11 12 14 12 13 14 10 14 9 9 11 10 11 13 11 11 12 12 11 13 8 11 11 16 15 15 13 15 19 0 26 15 16 14 13 13 11 14 25 10 14 10 19 18 16
IND86 10 11 12 16 13 12 12 8 11 12 9 12 9 10 8 10 16 13 14 11 10 10 9 11 10 10 13 10 9 13 11 13 12 11 7 9 9 13 10 9 9 9 10 13 14 12 10 12 13 12 12 10 15 11 11 13 12 12 11 10 11 11 8 14 9 8 13 11 11 12 10 15 11 11 13 10 10 10 14 10 14 12 13 15 25 0 14 16 11 12 15 13 14 35 19 14 17 18 17 22
IND87 14 13 13 18 12 18 13 15 11 14 11 14 14 16 11 13 17 13 16 13 12 14 18 12 13 14 12 17 13 13 14 14 15 10 16 13 11 16 15 11 18 12 16 11 16 16 15 13 11 18 15 13 13 13 14 16 12 14 16 13 13 14 15 17 14 13 17 14 16 16 17 12 11 11 16 15 15 15 17 16 19 17 26 12 19 19 0 29 25 15 21 18 19 16 23 19 14 25 17 19
IND88 12 10 11 12 11 11 14 13 14 10 11 11 12 14 12 9 13 10 13 13 15 11 12 12 16 14 10 13 13 11 15 8 11 13 16 12 12 10 12 11 13 13 11 13 11 13 11 11 10 12 10 10 12 12 10 14 12 13 11 14 15 11 16 12 11 15 12 11 12 11 14 14 14 10 13 14 12 13 14 15 14 17 20 12 15 18 30 0 22 16 23 12 13 13 16 13 16 20 13 14
IND89 16 14 16 15 13 16 13 16 13 14 18 10 15 13 15 14 15 13 11 16 10 12 12 12 14 14 14 18 11 14 13 17 12 17 12 12 15 14 17 16 13 14 15 15 13 16 14 12 16 15 14 15 16 15 13 16 17 16 16 15 14 14 12 14 16 14 11 16 19 15 12 17 16 17 15 16 12 18 20 16 16 19 17 19 19 13 22 23 0 14 18 17 14 16 23 13 19 24 18 17
IND90 17 16 16 21 15 14 17 17 17 20 18 15 14 14 13 16 21 18 16 18 18 18 18 11 18 17 20 17 17 17 15 17 14 13 17 17 13 13 20 14 15 19 14 16 21 13 18 19 17 14 17 20 20 17 18 18 14 21 15 19 20 15 16 14 16 18 17 14 20 14 16 12 13 16 22 15 19 21 19 19 20 15 22 20 18 17 19 19 14 0 21 18 18 18 21 21 20 21 19 19
IND91 11 13 12 16 15 13 14 11 16 14 15 12 10 12 12 11 16 16 9 13 13 12 12 13 12 12 17 13 14 14 13 15 11 15 10 10 10 11 16 12 11 16 11 11 14 15 13 11 15 13 14 11 13 13 12 12 16 17 15 15 13 13 13 12 14 13 12 14 11 15 17 13 11 13 10 11 14 16 14 14 13 18 13 18 18 20 17 27 18 18 0 14 14 20 11 14 14 14 19 16
IND92 11 14 16 18 16 13 16 18 18 16 17 15 13 16 15 16 16 12 14 13 13 14 16 19 15 15 14 12 13 14 20 14 15 14 15 19 14 16 14 16 16 12 17 15 13 18 15 14 20 12 17 19 14 13 15 12 15 14 21 15 14 16 14 13 14 18 16 18 15 14 12 18 18 13 11 17 16 14 18 24 21 18 20 20 18 18 16 15 15 16 15 0 16 18 12 22 18 16 15 16
IND93 17 20 16 23 18 20 21 15 16 15 18 17 21 15 16 21 20 16 15 19 20 16 17 21 17 15 17 15 21 15 17 20 18 21 16 14 16 20 19 24 16 21 19 22 22 18 19 19 20 19 19 21 17 21 20 14 24 16 20 19 21 21 16 21 19 20 26 21 20 20 17 18 14 19 20 22 21 23 23 15 15 21 19 19 20 18 23 18 18 22 19 22 0 16 19 22 24 19 25 22
IND94 14 10 11 16 13 14 12 13 14 17 16 12 12 10 16 11 18 14 12 14 14 13 12 12 13 13 12 11 15 13 11 14 13 15 14 10 16 14 14 13 13 13 13 15 16 15 15 13 11 12 18 13 14 15 16 12 15 14 12 14 13 15 15 15 16 12 15 15 13 10 15 15 11 16 13 13 13 13 16 15 13 14 16 17 23 34 13 10 14 17 19 15 11 0 13 17 16 18 21 24
IND95 13 12 18 18 14 13 16 15 17 12 11 13 12 13 12 13 15 14 18 13 13 16 14 13 12 13 15 21 11 12 13 12 15 14 16 14 13 16 14 13 15 20 12 13 12 11 19 14 11 18 15 13 11 13 14 16 18 13 17 16 14 16 14 12 13 14 14 13 15 12 16 13 12 15 16 21 16 15 15 21 16 29 18 17 14 25 24 20 19 18 11 12 15 15 0 15 17 19 15 16
IND96 24 20 16 21 19 16 23 20 20 22 18 26 22 15 19 19 19 16 18 18 24 21 17 20 20 20 20 21 16 17 18 18 16 21 20 17 24 19 18 17 21 22 20 19 19 16 21 21 16 20 16 19 22 23 20 22 21 20 22 20 21 23 26 21 19 17 19 20 25 19 19 22 20 18 24 20 18 26 25 23 16 16 17 16 22 18 22 19 18 19 22 23 20 23 19 0 24 15 17 18
IND97 17 16 19 21 25 16 16 18 15 20 18 17 18 19 16 20 17 17 14 16 19 20 18 17 20 18 16 19 18 19 18 23 16 18 16 19 21 20 19 17 19 16 16 15 18 17 19 15 18 16 19 25 25 21 22 17 24 15 23 17 18 19 26 20 18 16 21 26 22 16 22 17 15 17 17 22 22 19 17 18 27 16 19 15 15 23 16 21 22 20 16 22 23 19 19 25 0 15 21 17
IND98 12 15 14 17 15 14 12 13 17 18 16 15 12 16 13 9 16 14 15 13 12 14 13 15 15 20 16 15 12 17 13 16 12 16 12 13 15 14 13 15 13 13 12 13 13 13 16 13 13 17 13 15 14 17 9 12 13 15 15 10 13 13 14 15 12 14 15 16 14 13 17 15 16 14 17 14 14 15 11 15 14 19 14 14 17 19 27 20 20 21 15 18 14 17 19 12 12 0 14 14
IND99 10 13 12 11 14 18 9 11 16 16 14 10 14 11 11 12 14 16 10 12 10 15 14 11 9 18 14 11 15 12 10 12 15 8 10 9 9 15 16 15 12 12 14 16 16 11 13 14 9 13 15 12 14 12 16 14 13 14 12 11 13 15 17 13 12 11 11 12 14 11 14 10 12 14 15 11 15 16 17 14 16 15 17 22 21 21 15 13 14 14 15 12 17 20 15 11 15 16 0 21
IND100 14 13 14 14 9 10 10 17 13 11 13 12 11 12 12 11 12 13 10 9 13 10 10 12 10 13 16 15 9 14 17 11 14 11 10 12 11 12 14 9 12 12 12 13 11 13 10 10 12 15 12 10 14 14 15 12 14 16 13 15 12 13 11 12 11 13 10 10 9 14 13 9 9 17 10 14 16 13 12 17 13 11 16 24 19 23 15 17 12 15 18 12 16 23 12 12 12 14 20 0
